id,date,pn,latitude,longtitude,ts_url
5904741,2021-07-24 09:26:24,183,42.317,167.202,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5904741&cycle_number=183&dir_list=aoml&mode=R
5904933,2021-07-20 15:10:39,319,25.62,146.148,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5904933&cycle_number=319&dir_list=jma&mode=R
5904934,2021-07-16 12:10:08,254,21.441,167.554,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5904934&cycle_number=254&dir_list=jma&mode=R
5904935,2021-07-13 12:03:12,235,21.608,145.770,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5904935&cycle_number=235&dir_list=jma&mode=R
5904978,2021-07-18 10:18:44,149,43.916,149.112,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5904978&cycle_number=149&dir_list=aoml&mode=R
5905061,2021-07-17 07:59:43,332,23.393,145.573,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5905061&cycle_number=332&dir_list=jma&mode=R
5905226,2021-07-19 06:12:52,119,22.212,152.877,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5905226&cycle_number=119&dir_list=jma&mode=R
5905231,2021-07-16 16:09:23,119,24.738,169.550,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5905231&cycle_number=119&dir_list=jma&mode=R
5905847,2021-07-20 14:51:04,53,25.338,151.789,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5905847&cycle_number=053&dir_list=jma&mode=R
5905865,2021-07-18 09:05:54,70,21.6,150.518,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5905865&cycle_number=070&dir_list=jma&mode=R
5906087,2021-07-23 11:48:57,38,43.333,153.675,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5906087&cycle_number=038&dir_list=aoml&mode=R
5906190,2021-07-22 10:44:09,38,47.143,164.642,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5906190&cycle_number=038&dir_list=aoml&mode=R
5906390,2021-07-11 12:15:55,15,24.016,165.376,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5906390&cycle_number=015&dir_list=jma&mode=R
5906587,2021-07-25 11:12:54,10,20.266,168.568,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5906587&cycle_number=010&dir_list=aoml&mode=R
5906669,2021-07-25 11:02:52,2,49.441,168.613,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5906669&cycle_number=002&dir_list=aoml&mode=R
5906670,2021-07-19 02:04:22,1,44.17,155.314,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=5906670&cycle_number=001&dir_list=aoml&mode=R
